ID,SKU,name,description,current_price,current_stock,status,creation_date,last_update
46,PROD-046,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla L, Color Gris)",689.16,79,1,2026-09-21 17:49:04,2026-09-21 18:27:04
47,PROD-047,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,6609.99,27,1,2026-09-21 11:58:13,2026-09-21 12:11:13
48,PROD-048,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,32084.80,40,1,2026-09-18 09:59:46,2026-09-18 10:33:46
49,PROD-049,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla L, Color Blanco)",1828.12,43,1,2026-09-20 12:57:46,2026-09-20 13:59:46
50,PROD-050,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla XL, Color Gris)",444.79,52,1,2026-09-22 03:39:35,2026-09-22 03:55:35
51,PROD-051,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6033.35,43,1,2026-09-21 18:07:39,2026-09-21 19:01:39
52,PROD-052,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,971.85,52,1,2026-09-18 09:03:54,2026-09-18 10:12:54
53,PROD-053,Parlante Portátil SRS-XG300,Bocina inalámbrica portátil resistente al agua con graves potentes,20114.64,32,1,2026-09-18 05:55:05,2026-09-18 06:00:05
54,PROD-054,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla L, Color Blanco)",1816.44,95,1,2026-09-18 02:19:40,2026-09-18 03:04:40
55,PROD-055,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,7435.81,23,1,2026-09-18 11:01:24,2026-09-18 12:43:24
56,PROD-056,Smartphone Redmi Note 13 Pro 256GB,Teléfono inteligente con excelente relación calidad-precio y gran cámara - Color Verde,33319.30,31,1,2026-09-22 08:11:29,2026-09-22 09:36:29
57,PROD-057,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,1609.90,52,1,2026-09-18 03:06:00,2026-09-18 03:54:00
58,PROD-058,Smartphone Xiaomi 14 Ultra 256GB,Smartphone de gama alta enfocado en fotografía profesional Leica - Color Azul,12912.87,19,1,2026-09-18 19:49:23,2026-09-18 19:52:23
59,PROD-059,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,2894.79,12,1,2026-09-22 03:58:52,2026-09-22 04:33:52
60,PROD-060,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla XL, Color Verde)",2459.47,78,1,2026-09-19 11:35:04,2026-09-19 13:35:04
61,PROD-061,Smartphone Galaxy Z Flip 6 256GB,Teléfono plegable compacto con pantalla exterior funcional - Color Rojo,34669.97,21,1,2026-09-17 16:55:44,2026-09-17 17:08:44
62,PROD-062,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,5936.94,28,1,2026-09-20 02:54:43,2026-09-20 04:11:43
63,PROD-063,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,7236.24,20,1,2026-09-19 00:27:14,2026-09-19 00:32:14
64,PROD-064,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,4351.39,59,1,2026-09-20 17:46:30,2026-09-20 19:13:30
65,PROD-065,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,3677.86,50,1,2026-09-19 11:26:46,2026-09-19 12:45:46
66,PROD-066,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla L, Color Rojo)",1014.96,62,1,2026-09-19 10:51:40,2026-09-19 11:42:40
67,PROD-067,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,1857.98,50,1,2026-09-19 18:34:28,2026-09-19 20:00:28
68,PROD-068,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,4725.20,33,1,2026-09-20 19:09:23,2026-09-20 20:55:23
69,PROD-069,Cámara Alpha 7 IV,Cámara mirrorless profesional de fotograma completo para foto y video,7961.49,42,1,2026-09-21 03:42:32,2026-09-21 05:05:32
70,PROD-070,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla XL, Color Verde)",809.46,70,1,2026-09-22 06:57:12,2026-09-22 08:52:12
71,PROD-071,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,1044.45,40,1,2026-09-21 12:02:17,2026-09-21 13:23:17
72,PROD-072,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6620.02,56,1,2026-09-18 21:33:45,2026-09-18 22:59:45
73,PROD-073,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla M, Color Negro)",449.36,70,1,2026-09-21 04:22:50,2026-09-21 06:10:50
74,PROD-074,Smart Band 8,Pulsera de actividad física con seguimiento del sueño y deporte,31957.86,41,1,2026-09-18 15:40:27,2026-09-18 17:11:27
75,PROD-075,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3437.36,17,1,2026-09-21 10:54:10,2026-09-21 12:22:10
76,PROD-076,Smart TV 65 Neo QLED,Televisor inteligente 4K con tecnología de puntos cuánticos y alto contraste,8268.86,49,1,2026-09-20 14:47:26,2026-09-20 15:46:26
77,PROD-077,Smart TV OLED C3 65,Televisor inteligente ideal para videojuegos y películas con pánel OLED,33070.19,12,1,2026-09-20 05:50:04,2026-09-20 06:07:04
78,PROD-078,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla L, Color Azul)",1667.20,74,1,2026-09-20 01:30:22,2026-09-20 03:16:22
79,PROD-079,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6051.78,38,1,2026-09-20 04:54:13,2026-09-20 05:27:13
80,PROD-080,Parlante Portátil SRS-XG300,Bocina inalámbrica portátil resistente al agua con graves potentes,17703.19,20,1,2026-09-19 03:20:55,2026-09-19 04:16:55
81,PROD-081,Audífonos Bluetooth WH-1000XM5,Audífonos inalámbricos con la mejor cancelación de ruido del mercado,10145.89,25,1,2026-09-20 18:01:22,2026-09-20 18:11:22
82,PROD-082,MacBook Pro 16 M3 1TB,Computadora portátil profesional para edición de video y desarrollo - Color Verde,5924.59,18,1,2026-09-17 20:42:41,2026-09-17 21:35:41
83,PROD-083,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla XL, Color Azul)",483.87,63,1,2026-09-19 20:04:45,2026-09-19 21:59:45
84,PROD-084,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,3290.90,8,1,2026-09-19 14:35:09,2026-09-19 15:13:09
85,PROD-085,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla M, Color Azul)",821.76,65,1,2026-09-20 10:05:03,2026-09-20 10:08:03
86,PROD-086,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla M, Color Azul)",2327.01,89,1,2026-09-20 17:08:41,2026-09-20 17:11:41
87,PROD-087,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla S, Color Negro)",1731.91,27,1,2026-09-20 06:35:49,2026-09-20 06:58:49
88,PROD-088,Smart TV Bravia XR OLED 55,Televisor OLED con negros absolutos y procesador de imagen cognitivo,12121.02,34,1,2026-09-19 10:57:28,2026-09-19 11:40:28
89,PROD-089,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla L, Color Negro)",1361.16,79,1,2026-09-17 18:56:34,2026-09-17 19:40:34
90,PROD-090,Smartphone Galaxy S26 Ultra 128GB,Smartphone de alta gama con cámara de 200MP y pantalla Dynamic AMOLED - Color Blanco,7577.30,6,1,2026-09-21 05:50:45,2026-09-21 06:09:45
91,PROD-091,Audífonos AirPods Max,Audífonos de diadema inalámbricos con sonido de alta fidelidad,24265.79,41,1,2026-09-18 19:06:03,2026-09-18 20:05:03
92,PROD-092,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,1675.20,46,1,2026-09-22 00:16:55,2026-09-22 01:47:55
93,PROD-093,MacBook Air 15 M2 128GB,Laptop ultra delgada y liviana con gran autonomía - Color Rojo,1411.58,24,1,2026-09-20 23:12:50,2026-09-21 00:38:50
94,PROD-094,Zapatillas Air Max 270,"Calzado deportivo con cápsula de aire visible para máxima comodidad (Talla S, Color Rojo)",1834.82,90,1,2026-09-18 22:43:30,2026-09-18 22:56:30
95,PROD-095,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6451.33,44,1,2026-09-22 05:20:13,2026-09-22 05:25:13
96,PROD-096,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla L, Color Negro)",1437.82,53,1,2026-09-17 13:12:00,2026-09-17 15:00:00
97,PROD-097,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla XL, Color Gris)",1716.51,68,1,2026-09-21 18:22:00,2026-09-21 18:41:00
98,PROD-098,Chaqueta Camionera de Mezclilla,"Chaqueta clásica de mezclilla resistente para uso diario (Talla XL, Color Azul)",1286.49,85,1,2026-09-19 02:26:43,2026-09-19 03:07:43
99,PROD-099,Smartphone Galaxy Z Flip 6 1TB,Teléfono plegable compacto con pantalla exterior funcional - Color Blanco,27141.91,41,1,2026-09-21 04:14:36,2026-09-21 05:39:36
100,PROD-100,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla XL, Color Gris)",740.96,37,1,2026-09-19 15:01:57,2026-09-19 16:43:57
101,PROD-101,Polera Sportswear Club Fleece,"Sudadera de felpa con capucha y ajuste estándar (Talla L, Color Rojo)",371.82,34,1,2026-09-17 23:49:32,2026-09-18 00:19:32
102,PROD-102,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,4619.34,23,1,2026-09-21 15:56:05,2026-09-21 16:56:05
103,PROD-103,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,6426.29,13,1,2026-09-19 06:12:31,2026-09-19 06:40:31
104,PROD-104,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla L, Color Verde)",1600.34,70,1,2026-09-20 19:57:46,2026-09-20 21:04:46
105,PROD-105,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla L, Color Gris)",1861.14,44,1,2026-09-19 08:00:45,2026-09-19 08:32:45
106,PROD-106,Smartphone Galaxy Z Fold 6 512GB,Teléfono plegable con pantalla gigante para productividad y multitarea - Color Negro,26872.28,49,1,2026-09-18 14:19:18,2026-09-18 14:43:18
107,PROD-107,Patinete Eléctrico Pro 4,Scooter eléctrico con gran autonomía para movilidad urbana,26222.77,38,1,2026-09-21 02:16:17,2026-09-21 02:52:17
108,PROD-108,MacBook Air 15 M2 256GB,Laptop ultra delgada y liviana con gran autonomía - Color Gris,6870.17,5,1,2026-09-21 18:28:12,2026-09-21 19:36:12
109,PROD-109,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,35087.47,40,1,2026-09-19 05:54:10,2026-09-19 07:23:10
110,PROD-110,Smartphone Redmi Note 13 Pro 128GB,Teléfono inteligente con excelente relación calidad-precio y gran cámara - Color Rojo,10594.05,35,1,2026-09-20 03:30:19,2026-09-20 04:13:19
111,PROD-111,Smartphone Galaxy Z Flip 6 1TB,Teléfono plegable compacto con pantalla exterior funcional - Color Negro,29685.11,30,1,2026-09-20 10:58:23,2026-09-20 11:07:23
112,PROD-112,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,1533.90,44,1,2026-09-19 07:36:24,2026-09-19 07:46:24
113,PROD-113,Audífonos Galaxy Buds3 Pro,Audífonos inalámbricos con cancelación activa de ruido inteligente,27637.74,43,1,2026-09-21 02:10:29,2026-09-21 03:51:29
114,PROD-114,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,3290.87,36,1,2026-09-19 06:39:45,2026-09-19 08:29:45
115,PROD-115,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,4721.58,11,1,2026-09-21 04:08:29,2026-09-21 05:42:29
116,PROD-116,MacBook Pro 16 M3 512GB,Computadora portátil profesional para edición de video y desarrollo - Color Verde,3382.16,20,1,2026-09-18 12:40:15,2026-09-18 13:50:15
117,PROD-117,iPhone 16 Pro Max 1TB,Smartphone insignia de Apple con acabado en titanio y cámara profesional - Color Azul,24972.68,35,1,2026-09-19 05:46:30,2026-09-19 05:50:30
118,PROD-118,Barra de Sonido HT-A7000,Sistema de audio para cine en casa con soporte Dolby Atmos,10536.50,34,1,2026-09-17 21:43:25,2026-09-17 23:10:25
119,PROD-119,Barra de Sonido HT-A7000,Sistema de audio para cine en casa con soporte Dolby Atmos,21437.53,17,1,2026-09-20 01:16:22,2026-09-20 01:30:22
120,PROD-120,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,1532.32,25,1,2026-09-18 08:04:19,2026-09-18 08:13:19
121,PROD-121,MacBook Air 15 M2 512GB,Laptop ultra delgada y liviana con gran autonomía - Color Azul,4914.55,49,1,2026-09-19 07:38:38,2026-09-19 09:07:38
122,PROD-122,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla XL, Color Azul)",522.95,15,1,2026-09-20 02:16:34,2026-09-20 03:50:34
123,PROD-123,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla S, Color Negro)",842.19,96,1,2026-09-20 23:07:36,2026-09-21 00:22:36
124,PROD-124,Parlante Portátil SRS-XG300,Bocina inalámbrica portátil resistente al agua con graves potentes,1928.22,16,1,2026-09-20 07:52:44,2026-09-20 08:58:44
125,PROD-125,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,1779.32,45,1,2026-09-20 02:50:16,2026-09-20 04:11:16
126,PROD-126,Camiseta Graphic Setin Neck,"Playera casual de algodón con estampado frontal (Talla L, Color Azul)",1066.61,95,1,2026-09-18 02:35:27,2026-09-18 04:24:27
127,PROD-127,Smart TV Bravia XR OLED 55,Televisor OLED con negros absolutos y procesador de imagen cognitivo,25125.42,23,1,2026-09-21 11:51:11,2026-09-21 13:51:11
128,PROD-128,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla XL, Color Negro)",1026.21,51,1,2026-09-18 04:14:23,2026-09-18 05:52:23
129,PROD-129,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla XL, Color Azul)",466.54,76,1,2026-09-19 16:02:43,2026-09-19 17:21:43
130,PROD-130,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla S, Color Blanco)",924.17,26,1,2026-09-19 05:18:17,2026-09-19 06:14:17
131,PROD-131,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,619.41,48,1,2026-09-21 04:01:51,2026-09-21 05:43:51
132,PROD-132,MacBook Air 15 M2 128GB,Laptop ultra delgada y liviana con gran autonomía - Color Rojo,14983.67,19,1,2026-09-18 03:52:53,2026-09-18 04:51:53
133,PROD-133,Audífonos AirPods Max,Audífonos de diadema inalámbricos con sonido de alta fidelidad,33609.18,23,1,2026-09-20 13:28:02,2026-09-20 14:58:02
134,PROD-134,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla XL, Color Blanco)",1332.09,28,1,2026-09-19 19:13:16,2026-09-19 19:37:16
135,PROD-135,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,2499.48,58,1,2026-09-19 23:47:16,2026-09-20 00:30:16
136,PROD-136,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,2549.58,27,1,2026-09-21 00:50:11,2026-09-21 02:04:11
137,PROD-137,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,3793.76,38,1,2026-09-19 13:37:11,2026-09-19 14:19:11
138,PROD-138,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,7489.68,20,1,2026-09-21 16:56:17,2026-09-21 17:26:17
139,PROD-139,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6905.70,34,1,2026-09-17 17:42:50,2026-09-17 18:22:50
140,PROD-140,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3334.20,50,1,2026-09-22 06:45:29,2026-09-22 08:30:29
141,PROD-141,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,7732.67,16,1,2026-09-20 12:30:32,2026-09-20 13:45:32
142,PROD-142,Camiseta Graphic Setin Neck,"Playera casual de algodón con estampado frontal (Talla S, Color Rojo)",2307.45,11,1,2026-09-21 20:34:15,2026-09-21 20:52:15
143,PROD-143,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla S, Color Azul)",2030.28,43,1,2026-09-19 12:39:50,2026-09-19 13:58:50
144,PROD-144,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6873.42,51,1,2026-09-20 17:04:18,2026-09-20 17:52:18
145,PROD-145,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla XL, Color Rojo)",427.18,18,1,2026-09-18 21:32:54,2026-09-18 22:52:54
146,PROD-146,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6075.42,35,1,2026-09-18 01:41:39,2026-09-18 03:18:39
147,PROD-147,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,1664.37,27,1,2026-09-17 15:34:23,2026-09-17 15:39:23
148,PROD-148,Chaqueta Camionera de Mezclilla,"Chaqueta clásica de mezclilla resistente para uso diario (Talla L, Color Gris)",1275.98,41,1,2026-09-20 16:42:51,2026-09-20 17:34:51
149,PROD-149,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,1730.53,47,1,2026-09-19 19:04:10,2026-09-19 20:23:10
150,PROD-150,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,7337.50,17,1,2026-09-18 21:10:20,2026-09-18 22:09:20
151,PROD-151,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,2340.48,8,1,2026-09-22 08:32:26,2026-09-22 09:31:26
152,PROD-152,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla M, Color Negro)",1299.72,54,1,2026-09-21 00:55:43,2026-09-21 01:33:43
153,PROD-153,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3871.95,27,1,2026-09-18 16:22:14,2026-09-18 17:11:14
154,PROD-154,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla XL, Color Rojo)",1121.76,47,1,2026-09-21 17:11:50,2026-09-21 17:48:50
155,PROD-155,Patinete Eléctrico Pro 4,Scooter eléctrico con gran autonomía para movilidad urbana,787.48,48,1,2026-09-22 04:42:26,2026-09-22 06:17:26
156,PROD-156,Refrigeradora InstaView,Refrigerador inteligente con panel de cristal panorámico,18133.82,23,1,2026-09-22 04:19:58,2026-09-22 06:01:58
