ID,SKU,name,description,current_price,current_stock,status,creation_date,last_update
49,PROD-049,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,4918.35,47,1,2026-09-18 01:02:57,2026-09-18 01:55:57
50,PROD-050,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,1952.37,53,1,2026-09-19 10:51:57,2026-09-19 11:21:57
51,PROD-051,Zapatillas Air Max 270,"Calzado deportivo con cápsula de aire visible para máxima comodidad (Talla L, Color Azul)",1029.78,19,1,2026-09-17 14:27:58,2026-09-17 15:25:58
52,PROD-052,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,4486.02,40,1,2026-09-19 03:43:56,2026-09-19 03:59:56
53,PROD-053,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla L, Color Gris)",689.16,79,1,2026-09-21 19:34:12,2026-09-21 20:12:12
54,PROD-054,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,6609.99,27,1,2026-09-21 13:43:21,2026-09-21 13:56:21
55,PROD-055,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,32084.80,40,1,2026-09-18 11:44:54,2026-09-18 12:18:54
56,PROD-056,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla L, Color Blanco)",1828.12,43,1,2026-09-20 14:42:54,2026-09-20 15:44:54
57,PROD-057,Jeans 501 Original Fit,"Pantalón de mezclilla clásico de corte recto y ajuste cómodo (Talla XL, Color Gris)",444.79,52,1,2026-09-22 05:24:43,2026-09-22 05:40:43
58,PROD-058,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6033.35,43,1,2026-09-21 19:52:47,2026-09-21 20:46:47
59,PROD-059,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,971.85,52,1,2026-09-18 10:49:02,2026-09-18 11:58:02
60,PROD-060,Parlante Portátil SRS-XG300,Bocina inalámbrica portátil resistente al agua con graves potentes,20114.64,32,1,2026-09-18 07:40:13,2026-09-18 07:45:13
61,PROD-061,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla L, Color Blanco)",1816.44,95,1,2026-09-18 04:04:48,2026-09-18 04:49:48
62,PROD-062,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,7435.81,23,1,2026-09-18 12:46:32,2026-09-18 14:28:32
63,PROD-063,Smartphone Redmi Note 13 Pro 256GB,Teléfono inteligente con excelente relación calidad-precio y gran cámara - Color Verde,33319.30,31,1,2026-09-22 09:56:37,2026-09-22 11:21:37
64,PROD-064,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,1609.90,52,1,2026-09-18 04:51:08,2026-09-18 05:39:08
65,PROD-065,Smartphone Xiaomi 14 Ultra 256GB,Smartphone de gama alta enfocado en fotografía profesional Leica - Color Azul,12912.87,19,1,2026-09-18 21:34:31,2026-09-18 21:37:31
66,PROD-066,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,2894.79,12,1,2026-09-22 05:44:00,2026-09-22 06:19:00
67,PROD-067,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla XL, Color Verde)",2459.47,78,1,2026-09-19 13:20:12,2026-09-19 15:20:12
68,PROD-068,Smartphone Galaxy Z Flip 6 256GB,Teléfono plegable compacto con pantalla exterior funcional - Color Rojo,34669.97,21,1,2026-09-17 18:40:52,2026-09-17 18:53:52
69,PROD-069,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,5936.94,28,1,2026-09-20 04:39:51,2026-09-20 05:56:51
70,PROD-070,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,7236.24,20,1,2026-09-19 02:12:22,2026-09-19 02:17:22
71,PROD-071,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,4351.39,59,1,2026-09-20 19:31:38,2026-09-20 20:58:38
72,PROD-072,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,3677.86,50,1,2026-09-19 13:11:54,2026-09-19 14:30:54
73,PROD-073,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla L, Color Rojo)",1014.96,62,1,2026-09-19 12:36:48,2026-09-19 13:27:48
74,PROD-074,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,1857.98,50,1,2026-09-19 20:19:36,2026-09-19 21:45:36
75,PROD-075,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,4725.20,33,1,2026-09-20 20:54:31,2026-09-20 22:40:31
76,PROD-076,Cámara Alpha 7 IV,Cámara mirrorless profesional de fotograma completo para foto y video,7961.49,42,1,2026-09-21 05:27:40,2026-09-21 06:50:40
77,PROD-077,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla XL, Color Verde)",809.46,70,1,2026-09-22 08:42:20,2026-09-22 10:37:20
78,PROD-078,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,1044.45,40,1,2026-09-21 13:47:25,2026-09-21 15:08:25
79,PROD-079,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6620.02,56,1,2026-09-18 23:18:53,2026-09-19 00:44:53
80,PROD-080,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla M, Color Negro)",449.36,70,1,2026-09-21 06:07:58,2026-09-21 07:55:58
81,PROD-081,Smart Band 8,Pulsera de actividad física con seguimiento del sueño y deporte,31957.86,41,1,2026-09-18 17:25:35,2026-09-18 18:56:35
82,PROD-082,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3437.36,17,1,2026-09-21 12:39:18,2026-09-21 14:07:18
83,PROD-083,Smart TV 65 Neo QLED,Televisor inteligente 4K con tecnología de puntos cuánticos y alto contraste,8268.86,49,1,2026-09-20 16:32:34,2026-09-20 17:31:34
84,PROD-084,Smart TV OLED C3 65,Televisor inteligente ideal para videojuegos y películas con pánel OLED,33070.19,12,1,2026-09-20 07:35:12,2026-09-20 07:52:12
85,PROD-085,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla L, Color Azul)",1667.20,74,1,2026-09-20 03:15:30,2026-09-20 05:01:30
86,PROD-086,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6051.78,38,1,2026-09-20 06:39:21,2026-09-20 07:12:21
87,PROD-087,Parlante Portátil SRS-XG300,Bocina inalámbrica portátil resistente al agua con graves potentes,17703.19,20,1,2026-09-19 05:06:03,2026-09-19 06:02:03
88,PROD-088,Audífonos Bluetooth WH-1000XM5,Audífonos inalámbricos con la mejor cancelación de ruido del mercado,10145.89,25,1,2026-09-20 19:46:30,2026-09-20 19:56:30
89,PROD-089,MacBook Pro 16 M3 1TB,Computadora portátil profesional para edición de video y desarrollo - Color Verde,5924.59,18,1,2026-09-17 22:27:49,2026-09-17 23:20:49
90,PROD-090,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla XL, Color Azul)",483.87,63,1,2026-09-19 21:49:53,2026-09-19 23:44:53
91,PROD-091,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,3290.90,8,1,2026-09-19 16:20:17,2026-09-19 16:58:17
92,PROD-092,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla M, Color Azul)",821.76,65,1,2026-09-20 11:50:11,2026-09-20 11:53:11
93,PROD-093,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla M, Color Azul)",2327.01,89,1,2026-09-20 18:53:49,2026-09-20 18:56:49
94,PROD-094,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla S, Color Negro)",1731.91,27,1,2026-09-20 08:20:57,2026-09-20 08:43:57
95,PROD-095,Smart TV Bravia XR OLED 55,Televisor OLED con negros absolutos y procesador de imagen cognitivo,12121.02,34,1,2026-09-19 12:42:36,2026-09-19 13:25:36
96,PROD-096,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla L, Color Negro)",1361.16,79,1,2026-09-17 20:41:42,2026-09-17 21:25:42
97,PROD-097,Smartphone Galaxy S26 Ultra 128GB,Smartphone de alta gama con cámara de 200MP y pantalla Dynamic AMOLED - Color Blanco,7577.30,6,1,2026-09-21 07:35:53,2026-09-21 07:54:53
98,PROD-098,Audífonos AirPods Max,Audífonos de diadema inalámbricos con sonido de alta fidelidad,24265.79,41,1,2026-09-18 20:51:11,2026-09-18 21:50:11
99,PROD-099,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,1675.20,46,1,2026-09-22 02:02:03,2026-09-22 03:33:03
100,PROD-100,MacBook Air 15 M2 128GB,Laptop ultra delgada y liviana con gran autonomía - Color Rojo,1411.58,24,1,2026-09-21 00:57:58,2026-09-21 02:23:58
101,PROD-101,Zapatillas Air Max 270,"Calzado deportivo con cápsula de aire visible para máxima comodidad (Talla S, Color Rojo)",1834.82,90,1,2026-09-19 00:28:38,2026-09-19 00:41:38
102,PROD-102,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6451.33,44,1,2026-09-22 07:05:21,2026-09-22 07:10:21
103,PROD-103,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla L, Color Negro)",1437.82,53,1,2026-09-17 14:57:08,2026-09-17 16:45:08
104,PROD-104,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla XL, Color Gris)",1716.51,68,1,2026-09-21 20:07:08,2026-09-21 20:26:08
105,PROD-105,Chaqueta Camionera de Mezclilla,"Chaqueta clásica de mezclilla resistente para uso diario (Talla XL, Color Azul)",1286.49,85,1,2026-09-19 04:11:51,2026-09-19 04:52:51
106,PROD-106,Smartphone Galaxy Z Flip 6 1TB,Teléfono plegable compacto con pantalla exterior funcional - Color Blanco,27141.91,41,1,2026-09-21 05:59:44,2026-09-21 07:24:44
107,PROD-107,Zapatillas Air Force 1 '07,"Tenis clásicos de cuero blanco para uso urbano y casual (Talla XL, Color Gris)",740.96,37,1,2026-09-19 16:47:05,2026-09-19 18:29:05
108,PROD-108,Polera Sportswear Club Fleece,"Sudadera de felpa con capucha y ajuste estándar (Talla L, Color Rojo)",371.82,34,1,2026-09-18 01:34:40,2026-09-18 02:04:40
109,PROD-109,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,4619.34,23,1,2026-09-21 17:41:13,2026-09-21 18:41:13
110,PROD-110,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,6426.29,13,1,2026-09-19 07:57:39,2026-09-19 08:25:39
111,PROD-111,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla L, Color Verde)",1600.34,70,1,2026-09-20 21:42:54,2026-09-20 22:49:54
112,PROD-112,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla L, Color Gris)",1861.14,44,1,2026-09-19 09:45:53,2026-09-19 10:17:53
113,PROD-113,Smartphone Galaxy Z Fold 6 512GB,Teléfono plegable con pantalla gigante para productividad y multitarea - Color Negro,26872.28,49,1,2026-09-18 16:04:26,2026-09-18 16:28:26
114,PROD-114,Patinete Eléctrico Pro 4,Scooter eléctrico con gran autonomía para movilidad urbana,26222.77,38,1,2026-09-21 04:01:25,2026-09-21 04:37:25
115,PROD-115,MacBook Air 15 M2 256GB,Laptop ultra delgada y liviana con gran autonomía - Color Gris,6870.17,5,1,2026-09-21 20:13:20,2026-09-21 21:21:20
116,PROD-116,Consola PlayStation 5 Slim,Consola de videojuegos de última generación con almacenamiento SSD ultra rápido,35087.47,40,1,2026-09-19 07:39:18,2026-09-19 09:08:18
117,PROD-117,Smartphone Redmi Note 13 Pro 128GB,Teléfono inteligente con excelente relación calidad-precio y gran cámara - Color Rojo,10594.05,35,1,2026-09-20 05:15:27,2026-09-20 05:58:27
118,PROD-118,Smartphone Galaxy Z Flip 6 1TB,Teléfono plegable compacto con pantalla exterior funcional - Color Negro,29685.11,30,1,2026-09-20 12:43:31,2026-09-20 12:52:31
119,PROD-119,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,1533.90,44,1,2026-09-19 09:21:32,2026-09-19 09:31:32
120,PROD-120,Audífonos Galaxy Buds3 Pro,Audífonos inalámbricos con cancelación activa de ruido inteligente,27637.74,43,1,2026-09-21 03:55:37,2026-09-21 05:36:37
121,PROD-121,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,3290.87,36,1,2026-09-19 08:24:53,2026-09-19 10:14:53
122,PROD-122,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,4721.58,11,1,2026-09-21 05:53:37,2026-09-21 07:27:37
123,PROD-123,MacBook Pro 16 M3 512GB,Computadora portátil profesional para edición de video y desarrollo - Color Verde,3382.16,20,1,2026-09-18 14:25:23,2026-09-18 15:35:23
124,PROD-124,iPhone 16 Pro Max 1TB,Smartphone insignia de Apple con acabado en titanio y cámara profesional - Color Azul,24972.68,35,1,2026-09-19 07:31:38,2026-09-19 07:35:38
125,PROD-125,Barra de Sonido HT-A7000,Sistema de audio para cine en casa con soporte Dolby Atmos,10536.50,34,1,2026-09-17 23:28:33,2026-09-18 00:55:33
126,PROD-126,Barra de Sonido HT-A7000,Sistema de audio para cine en casa con soporte Dolby Atmos,21437.53,17,1,2026-09-20 03:01:30,2026-09-20 03:15:30
127,PROD-127,Cafetera Programable 12 Tazas,Cafetera de goteo con temporizador programable y jarra de vidrio,1532.32,25,1,2026-09-18 09:49:27,2026-09-18 09:58:27
128,PROD-128,MacBook Air 15 M2 512GB,Laptop ultra delgada y liviana con gran autonomía - Color Azul,4914.55,49,1,2026-09-19 09:23:46,2026-09-19 10:52:46
129,PROD-129,Zapatillas Running Pegasus 40,"Calzado de correr con amortiguación reactiva para entrenamiento (Talla XL, Color Azul)",522.95,15,1,2026-09-20 04:01:42,2026-09-20 05:35:42
130,PROD-130,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla S, Color Negro)",842.19,96,1,2026-09-21 00:52:44,2026-09-21 02:07:44
131,PROD-131,Parlante Portátil SRS-XG300,Bocina inalámbrica portátil resistente al agua con graves potentes,1928.22,16,1,2026-09-20 09:37:52,2026-09-20 10:43:52
132,PROD-132,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,1779.32,45,1,2026-09-20 04:35:24,2026-09-20 05:56:24
133,PROD-133,Camiseta Graphic Setin Neck,"Playera casual de algodón con estampado frontal (Talla L, Color Azul)",1066.61,95,1,2026-09-18 04:20:35,2026-09-18 06:09:35
134,PROD-134,Smart TV Bravia XR OLED 55,Televisor OLED con negros absolutos y procesador de imagen cognitivo,25125.42,23,1,2026-09-21 13:36:19,2026-09-21 15:36:19
135,PROD-135,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla XL, Color Negro)",1026.21,51,1,2026-09-18 05:59:31,2026-09-18 07:37:31
136,PROD-136,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla XL, Color Azul)",466.54,76,1,2026-09-19 17:47:51,2026-09-19 19:06:51
137,PROD-137,Zapatillas Samba OG,"Tenis de estilo retro icónicos en cuero de primera calidad (Talla S, Color Blanco)",924.17,26,1,2026-09-19 07:03:25,2026-09-19 07:59:25
138,PROD-138,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,619.41,48,1,2026-09-21 05:46:59,2026-09-21 07:28:59
139,PROD-139,MacBook Air 15 M2 128GB,Laptop ultra delgada y liviana con gran autonomía - Color Rojo,14983.67,19,1,2026-09-18 05:38:01,2026-09-18 06:37:01
140,PROD-140,Audífonos AirPods Max,Audífonos de diadema inalámbricos con sonido de alta fidelidad,33609.18,23,1,2026-09-20 15:13:10,2026-09-20 16:43:10
141,PROD-141,Pantalón de Buzo Tech Fleece,"Pantalón deportivo térmico con diseño estilizado (Talla XL, Color Blanco)",1332.09,28,1,2026-09-19 20:58:24,2026-09-19 21:22:24
142,PROD-142,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,2499.48,58,1,2026-09-20 01:32:24,2026-09-20 02:15:24
143,PROD-143,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,2549.58,27,1,2026-09-21 02:35:19,2026-09-21 03:49:19
144,PROD-144,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,3793.76,38,1,2026-09-19 15:22:19,2026-09-19 16:04:19
145,PROD-145,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,7489.68,20,1,2026-09-21 18:41:25,2026-09-21 19:11:25
146,PROD-146,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6905.70,34,1,2026-09-17 19:27:58,2026-09-17 20:07:58
147,PROD-147,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3334.20,50,1,2026-09-22 08:30:37,2026-09-22 10:15:37
148,PROD-148,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,7732.67,16,1,2026-09-20 14:15:40,2026-09-20 15:30:40
149,PROD-149,Camiseta Graphic Setin Neck,"Playera casual de algodón con estampado frontal (Talla S, Color Rojo)",2307.45,11,1,2026-09-21 22:19:23,2026-09-21 22:37:23
150,PROD-150,Zapatillas Ultraboost Light,"Tenis de running con retorno de energía superior y ligereza (Talla S, Color Azul)",2030.28,43,1,2026-09-19 14:24:58,2026-09-19 15:43:58
151,PROD-151,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6873.42,51,1,2026-09-20 18:49:26,2026-09-20 19:37:26
152,PROD-152,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla XL, Color Rojo)",427.18,18,1,2026-09-18 23:18:02,2026-09-19 00:38:02
153,PROD-153,Freidora XXL Airfryer,Freidora de aire de gran capacidad con tecnología de extracción de grasa,6075.42,35,1,2026-09-18 03:26:47,2026-09-18 05:03:47
154,PROD-154,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,1664.37,27,1,2026-09-17 17:19:31,2026-09-17 17:24:31
155,PROD-155,Chaqueta Camionera de Mezclilla,"Chaqueta clásica de mezclilla resistente para uso diario (Talla L, Color Gris)",1275.98,41,1,2026-09-20 18:27:59,2026-09-20 19:19:59
156,PROD-156,Licuadora Reversible 2 Velocidades,Licuadora con motor reversible y vaso de vidrio resistente a choques térmicos,1730.53,47,1,2026-09-19 20:49:18,2026-09-19 22:08:18
157,PROD-157,Freidora de Aire 4L,Freidora sin aceite para cocinar de manera saludable y rápida,7337.50,17,1,2026-09-18 22:55:28,2026-09-18 23:54:28
158,PROD-158,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,2340.48,8,1,2026-09-22 10:17:34,2026-09-22 11:16:34
159,PROD-159,Polerón Adicolor Classics,"Sudadera clásica con el logotipo de las tres tiras (Talla M, Color Negro)",1299.72,54,1,2026-09-21 02:40:51,2026-09-21 03:18:51
160,PROD-160,Aspiradora Inalámbrica SpeedPro,Aspiradora escoba sin cable con cabezal de succión de 180 grados,3871.95,27,1,2026-09-18 18:07:22,2026-09-18 18:56:22
161,PROD-161,Jeans 511 Slim Fit,"Pantalón de mezclilla ajustado de estilo moderno (Talla XL, Color Rojo)",1121.76,47,1,2026-09-21 18:56:58,2026-09-21 19:33:58
162,PROD-162,Patinete Eléctrico Pro 4,Scooter eléctrico con gran autonomía para movilidad urbana,787.48,48,1,2026-09-22 06:27:34,2026-09-22 08:02:34
163,PROD-163,Refrigeradora InstaView,Refrigerador inteligente con panel de cristal panorámico,18133.82,23,1,2026-09-22 06:05:06,2026-09-22 07:47:06
